Serial no.,Horse id,Horse-Gender,Horse-Height,Horse-Weight,Racer-Horse
1,H1,M,,,No
2,H2,M,,,No
3,H3,M,,820.0,No
4,H4,M,51.0,409.0,Yes
5,H5,M,56.0,,Yes
6,H6,M,,585.0,No
7,H7,F,55.0,,Yes
8,H8,F,,,Yes
9,H9,F,46.0,389.0,Yes
10,H10,M,63.0,731.0,No
11,H11,M,,,Yes
12,H12,M,,,No
13,H13,,52.0,415.0,Yes
14,H14,M,63.0,,No
15,H15,M,,,No
16,H16,M,,603.0,No
17,H17,M,52.0,,No
18,H18,F,,,Yes
19,H19,F,,,No
20,H20,M,59.0,,No
21,H21,F,,,Yes
22,H22,F,,954.0,Yes
23,H23,M,72.0,1181.0,No
24,H24,F,68.0,,No
25,H25,,58.0,,No
26,H26,M,63.0,,No
27,H27,F,60.0,607.0,No
28,H28,F,,613.0,No
29,H29,F,50.0,406.0,No
30,H30,M,62.0,778.0,No
31,H31,M,,,Yes
32,H32,F,58.0,,No
33,H33,F,,328.0,Yes
34,H34,F,65.0,,Yes
35,H35,M,68.0,,Yes
36,H36,F,62.0,759.0,No
37,H37,M,53.0,464.0,Yes
38,H38,M,57.0,571.0,No
39,H39,M,,,No
40,H40,M,51.0,436.0,Yes
41,H41,M,32.0,217.0,No
42,H42,M,63.0,735.0,No
43,H43,F,65.0,,No
44,H44,M,52.0,427.0,No
45,H45,F,63.0,782.0,Yes
46,H46,M,62.0,761.0,Yes
47,H47,F,,329.0,Yes
48,H48,F,70.0,1121.0,Yes
49,H49,F,,,No
50,H50,F,54.0,487.0,Yes
51,H51,F,56.0,578.0,No
52,H52,F,62.0,,No
53,H53,M,39.0,275.0,No
54,H54,F,60.0,608.0,Yes
55,H55,F,,868.0,Yes
56,H56,F,57.0,500.0,No
57,H57,M,47.0,,No
58,H58,M,40.0,279.0,Yes
59,H59,M,58.0,,No
60,H60,F,,633.0,No
61,H61,M,59.0,653.0,No
62,H62,M,34.0,247.0,Yes
63,H63,F,,,No
64,H64,M,,,No
65,H65,F,63.0,,Yes
66,H66,F,34.0,248.0,Yes
67,H67,F,69.0,988.0,No
68,H68,M,,250.0,No
69,H69,M,61.0,,No
70,H70,F,,,Yes
71,H71,M,,654.0,Yes
72,H72,M,65.0,857.0,Yes
73,H73,F,,,Yes
74,H74,F,59.0,608.0,No
75,H75,F,,709.0,No
76,H76,M,68.0,1047.0,Yes
77,H77,F,56.0,565.0,No
78,H78,M,34.0,247.0,Yes
79,H79,M,63.0,771.0,No
80,H80,M,64.0,824.0,Yes
81,H81,M,60.0,654.0,Yes
82,H82,F,59.0,690.0,No
83,H83,F,62.0,,No
84,H84,M,58.0,,Yes
85,H85,F,53.0,484.0,Yes
86,H86,F,62.0,790.0,Yes
87,H87,M,62.0,,No
88,H88,M,64.0,885.0,Yes
89,H89,M,50.0,,No
90,H90,M,61.0,741.0,No
91,H91,F,64.0,,No
92,H92,M,56.0,574.0,No
93,H93,M,50.0,428.0,Yes
94,H94,F,,,Yes
95,H95,M,,665.0,No
96,H96,F,,508.0,Yes
97,H97,M,53.0,473.0,Yes
98,H98,F,59.0,634.0,Yes
99,H99,M,66.0,959.0,No
100,H100,F,65.0,852.0,Yes
101,H101,F,41.0,,No
102,H102,,,,
103,H103,F,,,Yes
104,H104,F,32.0,180.0,No
105,H105,F,59.0,,No
106,H106,M,,,Yes
107,H107,M,64.0,867.0,No
108,H108,M,,824.0,Yes
109,H109,F,,,No
110,H110,F,30.0,199.0,Yes
111,H111,M,62.0,700.0,Yes
112,H112,F,,237.0,Yes
113,H113,,59.0,624.0,No
114,H114,M,,720.0,Yes
115,H115,F,54.0,461.0,No
116,H116,F,66.0,909.0,Yes
117,H117,M,62.0,794.0,No
118,H118,,58.0,623.0,No
119,H119,F,54.0,488.0,Yes
120,H120,M,61.0,763.0,No
121,H121,M,,529.0,No
122,H122,M,,,Yes
123,H123,F,,757.0,No
124,H124,F,52.0,422.0,Yes
125,H125,M,34.0,224.0,No
126,H126,F,,,Yes
127,H127,M,,602.0,Yes
128,H128,F,,,Yes
129,H129,M,60.0,,Yes
130,H130,M,60.0,669.0,Yes
131,H131,M,,,Yes
132,H132,F,60.0,610.0,Yes
133,H133,M,58.0,,Yes
134,H134,M,,,Yes
135,H135,M,,,Yes
136,H136,F,,902.0,No
137,H137,F,61.0,722.0,Yes
138,H138,M,,512.0,No
139,H139,F,,746.0,Yes
140,H140,F,,,Yes
141,H141,M,65.0,849.0,Yes
142,H142,F,,,Yes
143,H143,F,,431.0,Yes
144,H144,F,,,Yes
145,H145,M,50.0,,Yes
146,H146,,62.0,754.0,Yes
147,H147,F,58.0,679.0,No
148,H148,F,,857.0,Yes
149,H149,M,65.0,832.0,Yes
150,H150,M,53.0,451.0,Yes
151,H151,M,59.0,,No
152,H152,M,,,Yes
153,H153,M,36.0,224.0,Yes
154,H154,F,,,No
155,H155,F,54.0,476.0,Yes
156,H156,M,69.0,1038.0,No
157,H157,F,,,No
158,H158,M,,,Yes
159,H159,,68.0,,No
160,H160,M,,,Yes
161,H161,F,48.0,364.0,Yes
162,H162,M,57.0,508.0,No
