,Serial no.,Horse id,Horse-Gender,Horse-Height,Horse-Weight,Racer-Horse
0,1,H1,M,55.812658936611996,606.585796607797,No
1,2,H2,M,55.812658936611996,606.585796607797,No
2,3,H3,M,55.812658936611996,820.0,No
3,4,H4,M,51.0,409.0,Yes
4,5,H5,M,56.0,606.585796607797,Yes
5,6,H6,M,55.812658936611996,585.0,No
6,7,H7,F,55.0,606.585796607797,Yes
7,8,H8,F,55.812658936611996,606.585796607797,Yes
8,9,H9,F,46.0,389.0,Yes
9,10,H10,M,63.0,731.0,No
10,11,H11,M,55.812658936611996,606.585796607797,Yes
11,12,H12,M,55.812658936611996,606.585796607797,No
13,14,H14,M,63.0,606.585796607797,No
14,15,H15,M,55.812658936611996,606.585796607797,No
15,16,H16,M,55.812658936611996,603.0,No
16,17,H17,M,52.0,606.585796607797,No
17,18,H18,F,55.812658936611996,606.585796607797,Yes
18,19,H19,F,55.812658936611996,606.585796607797,No
19,20,H20,M,59.0,606.585796607797,No
20,21,H21,F,55.812658936611996,606.585796607797,Yes
21,22,H22,F,55.812658936611996,954.0,Yes
22,23,H23,M,72.0,1181.0,No
23,24,H24,F,68.0,606.585796607797,No
25,26,H26,M,63.0,606.585796607797,No
26,27,H27,F,60.0,607.0,No
27,28,H28,F,55.812658936611996,613.0,No
28,29,H29,F,50.0,406.0,No
29,30,H30,M,62.0,778.0,No
30,31,H31,M,55.812658936611996,606.585796607797,Yes
31,32,H32,F,58.0,606.585796607797,No
32,33,H33,F,55.812658936611996,328.0,Yes
33,34,H34,F,65.0,606.585796607797,Yes
34,35,H35,M,68.0,606.585796607797,Yes
35,36,H36,F,62.0,759.0,No
36,37,H37,M,53.0,464.0,Yes
37,38,H38,M,57.0,571.0,No
38,39,H39,M,55.812658936611996,606.585796607797,No
39,40,H40,M,51.0,436.0,Yes
40,41,H41,M,32.0,217.0,No
41,42,H42,M,63.0,735.0,No
42,43,H43,F,65.0,606.585796607797,No
43,44,H44,M,52.0,427.0,No
44,45,H45,F,63.0,782.0,Yes
45,46,H46,M,62.0,761.0,Yes
46,47,H47,F,55.812658936611996,329.0,Yes
47,48,H48,F,70.0,1121.0,Yes
48,49,H49,F,55.812658936611996,606.585796607797,No
49,50,H50,F,54.0,487.0,Yes
50,51,H51,F,56.0,578.0,No
51,52,H52,F,62.0,606.585796607797,No
52,53,H53,M,39.0,275.0,No
53,54,H54,F,60.0,608.0,Yes
54,55,H55,F,55.812658936611996,868.0,Yes
55,56,H56,F,57.0,500.0,No
56,57,H57,M,47.0,606.585796607797,No
57,58,H58,M,40.0,279.0,Yes
58,59,H59,M,58.0,606.585796607797,No
59,60,H60,F,55.812658936611996,633.0,No
60,61,H61,M,59.0,653.0,No
61,62,H62,M,34.0,247.0,Yes
62,63,H63,F,55.812658936611996,606.585796607797,No
63,64,H64,M,55.812658936611996,606.585796607797,No
64,65,H65,F,63.0,606.585796607797,Yes
65,66,H66,F,34.0,248.0,Yes
66,67,H67,F,69.0,988.0,No
67,68,H68,M,55.812658936611996,250.0,No
68,69,H69,M,61.0,606.585796607797,No
69,70,H70,F,55.812658936611996,606.585796607797,Yes
70,71,H71,M,55.812658936611996,654.0,Yes
71,72,H72,M,65.0,857.0,Yes
72,73,H73,F,55.812658936611996,606.585796607797,Yes
73,74,H74,F,59.0,608.0,No
74,75,H75,F,55.812658936611996,709.0,No
75,76,H76,M,68.0,1047.0,Yes
76,77,H77,F,56.0,565.0,No
77,78,H78,M,34.0,247.0,Yes
78,79,H79,M,63.0,771.0,No
79,80,H80,M,64.0,824.0,Yes
80,81,H81,M,60.0,654.0,Yes
81,82,H82,F,59.0,690.0,No
82,83,H83,F,62.0,606.585796607797,No
83,84,H84,M,58.0,606.585796607797,Yes
84,85,H85,F,53.0,484.0,Yes
85,86,H86,F,62.0,790.0,Yes
86,87,H87,M,62.0,606.585796607797,No
87,88,H88,M,64.0,885.0,Yes
88,89,H89,M,50.0,606.585796607797,No
89,90,H90,M,61.0,741.0,No
90,91,H91,F,64.0,606.585796607797,No
91,92,H92,M,56.0,574.0,No
92,93,H93,M,50.0,428.0,Yes
93,94,H94,F,55.812658936611996,606.585796607797,Yes
94,95,H95,M,55.812658936611996,665.0,No
95,96,H96,F,55.812658936611996,508.0,Yes
96,97,H97,M,53.0,473.0,Yes
97,98,H98,F,59.0,634.0,Yes
98,99,H99,M,66.0,959.0,No
99,100,H100,F,65.0,852.0,Yes
100,101,H101,F,41.0,606.585796607797,No
102,103,H103,F,55.812658936611996,606.585796607797,Yes
103,104,H104,F,32.0,180.0,No
104,105,H105,F,59.0,606.585796607797,No
105,106,H106,M,55.812658936611996,606.585796607797,Yes
106,107,H107,M,64.0,867.0,No
107,108,H108,M,55.812658936611996,824.0,Yes
108,109,H109,F,55.812658936611996,606.585796607797,No
109,110,H110,F,30.0,199.0,Yes
110,111,H111,M,62.0,700.0,Yes
111,112,H112,F,55.812658936611996,237.0,Yes
113,114,H114,M,55.812658936611996,720.0,Yes
114,115,H115,F,54.0,461.0,No
115,116,H116,F,66.0,909.0,Yes
116,117,H117,M,62.0,794.0,No
118,119,H119,F,54.0,488.0,Yes
119,120,H120,M,61.0,763.0,No
120,121,H121,M,55.812658936611996,529.0,No
121,122,H122,M,55.812658936611996,606.585796607797,Yes
122,123,H123,F,55.812658936611996,757.0,No
123,124,H124,F,52.0,422.0,Yes
124,125,H125,M,34.0,224.0,No
125,126,H126,F,55.812658936611996,606.585796607797,Yes
126,127,H127,M,55.812658936611996,602.0,Yes
127,128,H128,F,55.812658936611996,606.585796607797,Yes
128,129,H129,M,60.0,606.585796607797,Yes
129,130,H130,M,60.0,669.0,Yes
130,131,H131,M,55.812658936611996,606.585796607797,Yes
131,132,H132,F,60.0,610.0,Yes
132,133,H133,M,58.0,606.585796607797,Yes
133,134,H134,M,55.812658936611996,606.585796607797,Yes
134,135,H135,M,55.812658936611996,606.585796607797,Yes
135,136,H136,F,55.812658936611996,902.0,No
136,137,H137,F,61.0,722.0,Yes
137,138,H138,M,55.812658936611996,512.0,No
138,139,H139,F,55.812658936611996,746.0,Yes
139,140,H140,F,55.812658936611996,606.585796607797,Yes
140,141,H141,M,65.0,849.0,Yes
