Serial no.,Horse id,Horse-Gender,Horse-Height,Horse-Weight,Racer-Horse
1,H1,F,41.0,296.0,No
2,H2,M,41.0,,Yes
3,H3,F,57.0,,No
4,H4,M,,,Yes
5,H5,F,62.0,767.0,Yes
6,H6,M,,,No
7,H7,F,51.0,,Yes
8,H8,M,59.0,541.0,Yes
9,H9,M,,529.0,No
10,H10,F,56.0,747.0,No
11,H11,M,63.0,,No
12,H12,F,,,Yes
13,H13,M,53.0,,Yes
14,H14,F,,483.0,Yes
15,H15,M,53.0,323.0,No
16,H16,F,57.0,,Yes
17,H17,,61.0,,No
18,H18,M,63.0,,No
19,H19,M,59.0,841.0,Yes
20,H20,M,61.0,519.0,No
21,H21,F,52.0,,Yes
22,H22,F,62.0,,No
23,H23,M,55.0,,No
24,H24,M,56.0,844.0,No
25,H25,M,64.0,531.0,No
26,H26,F,65.0,1145.0,No
27,H27,F,65.0,961.0,Yes
28,H28,M,62.0,552.0,Yes
29,H29,M,55.0,,No
30,H30,F,64.0,,Yes
31,H31,F,69.0,1060.0,No
32,H32,,61.0,864.0,Yes
33,H33,M,64.0,,Yes
34,H34,M,,,No
35,H35,F,,825.0,No
36,H36,F,59.0,,No
37,H37,F,57.0,,Yes
38,H38,F,70.0,946.0,No
39,H39,F,57.0,,Yes
40,H40,,,184.0,No
41,H41,F,,696.0,Yes
42,H42,F,,1131.0,No
43,H43,M,54.0,428.0,Yes
44,H44,F,71.0,1043.0,Yes
45,H45,F,,,No
46,H46,M,42.0,343.0,No
47,H47,M,,,No
48,H48,F,60.0,655.0,No
49,H49,F,64.0,820.0,Yes
50,H50,M,72.0,1084.0,No
51,H51,F,57.0,,No
52,H52,M,44.0,,Yes
53,H53,F,63.0,,Yes
54,H54,F,,,Yes
55,H55,F,43.0,,No
56,H56,M,61.0,854.0,Yes
57,H57,F,72.0,,Yes
58,H58,M,60.0,,Yes
59,H59,F,,,No
60,H60,F,,816.0,Yes
61,H61,M,61.0,567.0,No
62,H62,M,,,No
63,H63,M,46.0,477.0,No
64,H64,F,71.0,,Yes
65,H65,F,57.0,,
66,H66,,67.0,,No
67,H67,F,70.0,988.0,No
68,H68,M,,429.0,Yes
69,H69,M,,330.0,Yes
70,H70,M,60.0,832.0,Yes
